elements_per_query,time execution,size_intersection
6,2189.5,4825
4,550.9,1853
2,180.6,139
4,962.5,2885
4,2281.7,13487
3,2850.5,33854
4,250,168
5,802.4,1130
5,1260.9,3057
4,1843.9,19757
3,1318.5,12973
3,203.4,93
3,409.7,280
5,245.4,97
4,171.9,56
5,590.7,3272
3,1650.4,11963
3,234.6,467
3,202.8,104
4,775.3,1526
2,244.8,573
4,917.4,2109
6,260.8,48
3,237.3,325
2,2582.7,27853
4,955.9,3036
4,140.6,8
3,2431.6,29845
3,2754.9,38354
2,842.5,6695
4,599.2,6139
4,1498.3,4149
4,2184.2,12021
4,729.1,1867
2,297.2,2903
4,518.3,1090
5,552.1,152
2,2653.3,33203
3,2206.5,13579
4,359.3,184
3,187.8,87
3,385.2,1206
5,478.3,195
5,314.8,74
2,1341,18924
2,289,1547
4,1035.8,1741
4,272.4,92
3,1464,11201
3,1472.1,12594
3,491.5,2851
3,352.4,281
4,642.8,974
3,2187.6,41090
3,599.1,2007
4,1027.2,1958
5,279.9,328
4,539.4,991
4,789,1306
2,508.9,3901
4,1470.5,9034
5,3550.6,29481
3,4745.2,82082
4,809.5,4396
3,620.2,1628
5,233.4,28
3,193.2,217
2,2932.9,98326
5,1165.3,1962
6,1883.7,8139
3,1680,11147
4,285,1724
3,220.8,1257
4,933.3,1099
3,400.5,741
4,2396.2,13387
3,1056,11732
4,147.2,31
3,1819.7,12657
2,9392.2,505459
5,1700.2,5608
5,671.7,2214
3,227.6,830
3,734.6,1414
3,192.1,18
3,1617.3,8438
5,466.8,624
4,1496.3,6069
3,1063.3,5218
3,326,327
4,926.9,1940
5,332.5,1031
2,579.2,3936
4,312.5,29
6,185.6,54
4,707,4887
2,8106.9,236055
3,300.4,386
4,213.3,153
4,469.3,408
5,1132.3,5041
5,2013,7167
5,355.1,199
3,351.4,471
5,136.7,6
3,2381.9,22141
3,607.7,2480
2,1934.5,24982
2,289.9,452
3,418.7,1208
3,392.8,1232
4,446,1501
4,2660.4,23344
7,1693.3,3842
3,3608.4,36519
4,573.1,1233
3,764.5,3523
5,352.7,272
4,252.8,73
3,272.5,564
2,1713,48630
3,625,8729
3,3624.2,44739
5,8905.9,100860
3,243,404
4,1073.2,6139
5,2112.1,10102
2,226,1637
2,1428.8,18639
3,267.4,439
3,1050.1,6233
2,443.2,5992
3,3711.8,158698
3,209.4,695
2,653.7,11614
3,2213.5,40493
3,926.6,5197
5,309.6,187
4,190.5,237
4,196.3,41
4,1198.2,4312
3,226.8,128
6,945,2618
3,1591.7,34668
4,159,9
2,188.9,5255
3,618.7,3774
3,300.6,646
2,532.4,2122
5,162.3,2
5,809.6,2011
3,1105.2,4523
2,3721.6,90411
3,260,366
2,1595.7,29686
6,235,20
2,1054,10654
2,266.8,3041
5,664.5,626
7,633.6,680
3,1453.6,26921
3,279.9,247
3,334.5,716
2,6259.5,406298
3,338.6,743
4,2982.1,20191
3,842.6,5175
5,2721.7,18952
4,719.8,2832
