elements_per_query,time execution,size_intersection
3,1031.1,8127
3,421.9,1002
3,2240,12329
4,2141.9,4527
3,2820,9791
6,4165.5,4825
4,922.4,1853
2,212.8,139
4,1681.4,2885
4,4012.2,13487
3,4376.5,33854
4,368.5,168
5,1432.6,1130
5,2292.8,3057
4,3218.8,19757
3,2073.1,12973
3,245.3,93
3,577.9,280
5,347.4,97
4,221.8,56
5,1061.8,3272
3,2612.1,11963
3,320.8,467
3,238.4,104
4,1338.1,1526
2,301.6,573
4,1569.3,2109
6,393.8,48
3,324.7,325
2,3629.4,27853
4,1580.4,3036
4,196.9,8
3,3843.8,29845
3,3879,38354
2,1159.6,6695
4,1042.3,6139
4,2649,4149
4,3822.2,12021
4,1258.4,1867
2,359.9,2903
4,842.9,1090
5,963.5,152
2,3819.4,33203
3,3497,13579
4,570.1,184
3,246.8,87
3,553.6,1206
5,705.7,195
5,486.5,74
2,1910.2,18924
2,393.5,1547
4,1726,1741
4,394,92
3,2281.2,11201
3,2441.1,12594
3,719.3,2851
3,493,281
4,1089.3,974
3,3482,41090
3,940.4,2007
4,1815.6,1958
5,459.8,328
4,913.8,991
4,1384.4,1306
2,678.6,3901
4,2555,9034
5,6703.3,29481
3,7242.4,82082
4,1442.1,4396
3,975,1628
5,362,28
3,223.7,217
2,4421.8,98326
5,2113.9,1962
6,3655,8139
3,2783.1,11147
4,429,1724
3,288.2,1257
4,1620.9,1099
3,582,741
4,4095,13387
3,1612.9,11732
4,193.2,31
3,2894.9,12657
2,12738.9,505459
5,3121.9,5608
5,1226.4,2214
3,304.8,830
3,1115,1414
3,229.8,18
3,2528.8,8438
5,703,624
4,2658.8,6069
3,1662.5,5218
3,487.3,327
4,1611.4,1940
5,488.3,1031
2,815.7,3936
4,438.3,29
6,248.9,54
4,1241.2,4887
2,11274.7,236055
3,462.3,386
4,300.9,153
4,790.1,408
5,2102.5,5041
5,3834.4,7167
5,558.1,199
3,481.3,471
5,166.1,6
3,3684.2,22141
3,939.1,2480
2,2731.9,24982
2,369.4,452
3,610.3,1208
3,581.1,1232
4,738.6,1501
4,4673.1,23344
7,3347.2,3842
3,5519.8,36519
4,968,1233
3,1162.5,3523
5,580.8,272
4,372.2,73
3,363.1,564
2,2438.6,48630
3,973.2,8729
3,5799.2,44739
5,16482.4,100860
3,348,404
4,1871.8,6139
5,3957.7,10102
2,273.4,1637
2,1959.3,18639
3,377.9,439
3,1645.3,6233
2,559.7,5992
3,5725.8,158698
3,275.3,695
2,886.9,11614
3,3443.4,40493
3,1469,5197
5,516.2,187
4,265.5,237
4,255.4,41
4,2141.1,4312
3,304.8,128
6,1744.7,2618
3,2508.9,34668
4,199,9
2,225.4,5255
3,906.2,3774
3,439.1,646
2,719.7,2122
5,223.2,2
5,1456.3,2011
3,1758.1,4523
2,5026.8,90411
3,357.5,366
2,2309.9,29686
6,356.1,20
2,1469.9,10654
2,339.9,3041
5,1174.3,626
7,1164,680
3,2360.4,26921
3,423.2,247
3,507.9,716
2,8839.6,406298
3,490.4,743
4,5358.5,20191
3,1305.7,5175
5,5208.4,18952
4,1137.8,2832
3,3234.3,109902
5,12120,94954
3,2887.1,17362
4,6398.8,24918
4,10661.9,82269
3,368.2,261
6,605.2,42
3,346.4,829
2,490.5,2097
5,592.2,386
4,306.8,204
8,684.5,183
5,2889.5,4203
4,1469.5,2906
4,4096.8,20650
3,1709.3,4917
2,318.4,1152
3,6504.4,60039
6,380.7,239
4,926,2775
4,383.4,47
4,6586.3,39998
4,1363.5,1764
2,8698.4,309558
3,7969.7,74090
4,225.9,213
2,319.1,2516
3,5965.4,38119
2,580.1,3689
4,2563.4,7576
3,1160.4,3827
3,465,724
4,2776.9,7082
3,3167.6,19941
3,530.7,732
2,599.2,2641
3,2930.8,15247
4,482.6,459
3,244.1,108
4,5731.5,32180
4,704.4,529
4,5466,19078
3,2521.7,16636
2,416.1,4701
4,2110.6,5577
6,346.6,5
6,1593.1,1723
2,276.3,813
2,2395.6,22294
5,213.6,16
5,270.1,19
3,4297.2,33695
4,296.6,83
3,859.1,1747
4,1437.2,3689
5,1638.3,3528
3,4233.3,43765
3,1429.4,12977
3,1119,9503
4,1917.7,8926
2,7356,127836
5,546.9,171
4,370.5,58
3,5459.8,33722
3,268,273
5,272.8,30
4,311.8,17
3,3298.4,14595
4,14122.7,137561
2,222.5,184
5,1600.5,1946
2,173.8,185
3,496.4,480
5,1068.7,1281
3,940.4,1083
5,1005.8,224
2,325.4,1723
2,1469.2,18286
5,2239,4003
3,2481.8,19921
3,3807.4,22224
3,7764.6,91153
3,118.2,42
3,1255.4,2969
5,1294.6,1192
3,4769.6,39657
2,268.8,394
9,2119.3,304
5,2432.8,1955
4,1467.4,4638
2,364.5,861
4,722.8,1526
3,348.3,200
3,5019,47471
3,6023.4,58072
4,1263.6,1284
4,3890.7,23544
3,585.7,1262
3,341.6,113
4,171.2,1
4,3132.8,10663
2,461.4,1202
4,4865.4,19306
2,230.2,254
2,496.1,4022
2,261.2,996
2,331.6,946
2,1086.6,6126
6,1419,1865
2,1336.3,8743
3,4445.4,50864
4,6082.3,85465
3,368.6,1671
4,2617.8,13593
2,1300.4,7592
6,734.4,264
4,2435.8,4741
3,1445.7,7188
3,2644.4,17449
3,737.1,2158
2,859.6,3354
4,4162.2,17819
4,1203.1,1542
5,530.2,284
4,3208.9,16869
5,3635.8,9723
4,2733.4,4152
5,573.5,61
3,433.2,763
3,733.9,858
3,13558.2,363126
3,401.4,305
2,919.6,8642
3,167,2
5,301,2
5,1768.5,2927
3,4116.8,22111
2,9671.7,150870
3,15359.6,234659
5,234.3,7
2,234.8,666
2,1288.3,13948
4,621.2,218
3,1421.2,9496
5,5009,18069
3,1113.5,1974
2,2955.6,24938
2,146.9,61
3,636.4,1952
3,416.9,301
4,414.8,121
3,611.4,3747
3,1579.8,8436
4,2303.8,7511
3,273.4,121
2,402.2,1621
3,888.9,5589
2,1023.4,12469
3,773.4,4345
2,399.1,2119
4,1188.6,5572
2,230.3,170
6,774.3,327
4,711.1,569
4,963.1,788
3,5227.4,34253
5,367.1,48
4,1385.7,1235
4,345.5,888
5,1888,2256
3,535.4,1921
5,2007.4,2508
3,6019.1,61564
2,1721.3,32202
4,3006.6,15154
2,1908.9,20349
5,1267.9,1034
2,413.3,2925
5,623.4,49
6,1444.8,993
2,3399.1,49415
2,961.8,12106
5,541.8,530
3,5533.8,119193
6,1742.9,1613
4,631.5,90
5,1374.8,561
2,266.6,463
2,1339.6,8285
4,4573.2,24000
4,734.5,920
4,571.9,308
2,2822,27955
3,844.5,22720
6,328.9,53
3,399.1,961
2,457.3,1701
3,3677.4,21629
4,3475.3,10142
5,2299.5,4137
2,12523.8,625261
5,438.6,145
4,2118,22501
3,922.9,23047
5,866.3,1375
3,1229.1,2377
5,1511.5,1008
4,531.8,1101
3,834.5,2368
5,2728.6,6190
3,577.5,2137
5,1662.6,1701
4,11749.3,96775
4,956.1,1230
7,5736.8,12621
4,4360.8,21257
4,719.7,910
4,3060.8,7690
3,16308.3,450387
3,312.9,1068
4,381.1,290
3,728.2,960
5,2053.1,5787
3,1235.1,2615
3,271,368
12,3276.8,1528
3,4978.1,45422
4,3291.4,9761
4,5157.7,21415
4,2152.7,6927
4,621.6,350
5,13925.2,103226
2,358.1,904
3,9365.2,100542
2,218.1,124
3,2963,15615
5,2504.2,4639
3,3811.4,26066
2,158,252
4,1880.4,4150
2,745.5,3930
6,4586.6,5490
3,793.6,838
2,3123.4,27377
2,869.4,3509
5,1222.7,432
3,414.1,2250
4,554.2,249
4,5194.3,27543
2,1177.6,11218
3,707.6,3102
3,663.5,1408
2,10588.7,482562
2,1352.5,7775
5,195.8,27
6,3496.6,9885
3,1191.8,3740
2,164.2,73
6,4182,8858
9,2305.5,1669
2,365.6,2839
2,223.2,263
2,2962.8,37247
3,822.7,10673
3,246.6,394
5,262.2,7
3,305.4,846
3,1845.6,4368
2,248.5,172
3,7570.1,143025
5,1210.9,2386
3,915.8,1172
4,1546.4,4048
7,860.5,809
3,1417.2,5114
3,971.9,5075
3,3919.6,26908
5,1500.5,845
5,492.9,65
4,1840.8,3006
4,316.2,288
4,1934.6,5000
3,727.8,1033
2,645.9,3058
7,1493.9,1096
3,442.1,1578
5,248.1,12
3,2676.2,9827
5,517.5,551
3,209.3,164
4,231.7,21
4,297,57
5,2442.1,3286
4,553,173
4,9137.5,62952
4,900.3,812
3,441.6,854
3,5101.6,51934
5,451.2,8
4,531.4,246
5,4155.1,7347
2,279.1,1297
2,17950.9,440676
3,1352.6,4391
4,714.2,966
5,234.2,7
4,596.9,371
5,8150.9,125951
3,310.3,381
5,1776.2,3565
3,218.8,38
3,206.8,246
3,864.1,1610
4,695.2,287
4,356.3,57
4,1191.3,2877
5,5926.7,25516
4,158.9,42
4,3449.6,8212
3,274.4,598
2,297.4,514
4,1687.4,2394
2,1427.7,17158
4,1817.9,4947
4,395.6,122
4,406.8,868
5,604.3,838
5,5773.2,25700
4,1042,1717
2,608.3,2868
3,1511.5,11376
3,1325,5628
3,168.1,24
4,6710,34709
4,3309.6,21773
4,235.3,21
3,383.1,623
6,1555.1,2466
9,2781.2,2044
3,5377.6,36726
3,15534.9,294086
6,727.6,171
3,3696.9,16873
6,1117.9,706
3,1636.1,7101
2,2915.4,23451
3,14952.1,594383
6,1886.9,2098
3,1682.3,7962
5,782.6,597
3,417.6,198
3,8613.9,117432
5,837.6,1672
4,790,281
2,285.8,753
3,711.6,3197
2,664.2,2545
3,1035.6,5590
4,411.8,484
4,692.8,1182
6,6244.8,13147
3,298.2,707
4,2227.5,11423
2,575.9,18625
4,175.2,4
4,1371.2,2327
6,2272,3011
3,1544.1,6080
3,1157.5,5712
3,18679.1,300930
5,5812.1,21902
2,277.2,1256
2,13148.3,388838
2,9386,168528
3,2936.7,17191
4,524,558
4,1303.6,1661
4,1422.8,2192
2,3168.2,29028
4,1831,2810
3,382,341
4,892.8,1386
2,218.8,797
4,261.6,102
3,2563.2,8818
2,188.3,410
2,708.6,2727
4,412.8,450
2,6278.6,100165
4,1167.7,2667
3,511.9,1458
3,3347.8,23265
3,290.8,449
5,446.5,578
8,4593.5,5806
4,257.6,314
4,4068.9,12688
3,2076.4,11463
4,869.9,526
5,7942.6,30625
3,679.1,3228
4,778.3,589
4,2041.4,6799
4,873.6,1449
3,658.2,1424
3,176.4,739
4,4565.3,19831
3,21899.6,691444
4,869.4,2573
4,2302.6,7413
8,1317.1,612
3,1156.3,1798
4,1649.4,2540
6,818.5,77
4,1327,1629
5,3346.5,13188
2,25918.6,1054459
5,592.2,507
3,2526.8,20561
4,1406.2,1224
4,2079.2,5714
4,10582.8,117772
3,3567.9,24223
2,747.6,4243
3,565.7,479
3,1276.6,2179
4,4534.5,15385
3,288.6,229
6,3406.9,3969
4,667.6,306
3,5475.8,256583
2,382.4,2715
6,4913.9,11236
2,527.3,2382
6,195.7,0
3,1416.1,8231
2,2050,16208
3,3621.8,24473
5,219.7,81
4,6481.9,82607
5,447.5,67
5,474.6,254
4,1317.2,2050
6,255.9,17
5,3225.8,6188
3,2090.7,6349
2,3653.9,48943
2,550.9,8805
3,767.3,875
5,2248.6,2837
2,946,24598
5,4064.7,9693
4,796.1,1111
3,2395.8,8460
10,5087.2,4593
4,579.5,1015
2,1104.9,5794
4,289,78
2,605.9,4771
4,1327.1,1910
2,371.3,1599
3,388.3,104
2,271.1,940
2,616.4,4937
2,266.6,1572
6,169.3,1
2,305.2,1070
2,12960.4,513413
2,284.7,1292
4,844.3,1398
3,651.8,1019
4,512.7,182
4,1400.5,2682
4,5841,31023
2,1483.8,29184
2,20858.6,592433
4,289.9,12
7,868.6,1267
3,254.9,90
2,836.8,4455
6,2576.8,2053
3,633.7,5051
6,550.5,225
4,1007.4,479
4,1063.9,462
2,362.7,954
2,443.3,1821
3,4115.6,29146
4,1749.5,5362
4,19251.4,312284
2,318,948
4,1159.7,1017
4,2966.2,6577
4,536.5,160
2,130.5,59
5,656.5,484
4,2936.4,9952
4,5362.7,16752
7,362,48
3,438.6,493
3,512.7,534
3,223.3,160
3,3853.7,37794
4,2771.2,5227
4,1451.3,3449
4,1493,2433
6,1132.6,474
5,1154.7,848
5,2224.5,3423
5,520.9,45
4,16071,431499
5,869.9,969
3,21677.6,1025381
4,757.6,547
4,2226.2,4942
5,1071.8,859
3,453.9,592
3,221,33
4,328.5,26
4,5287.1,62499
4,3260.8,16677
5,1197.9,2089
3,1400.6,2299
2,9847,187426
5,1950.8,1362
2,726.3,3633
3,6046.5,53444
4,1486.7,1442
2,882.8,4878
4,325.1,88
3,1220.5,22874
3,267.4,142
4,2412.7,4844
2,708.6,2950
4,846.2,976
3,987.4,2499
4,295.2,420
5,740.5,234
3,9282.8,110559
3,1197.2,4481
3,331.6,229
2,221.9,1515
4,870.6,1103
3,3968.4,22691
4,282.1,88
3,8011.7,83976
2,680.9,3624
4,4364,25122
6,701.4,277
8,441.6,1113
2,1355.5,52251
4,10440.3,142264
3,1138,5761
4,949.3,1382
3,418.4,738
3,6400.4,69601
3,938.3,895
4,719,859
3,484.7,614
5,918.3,233
3,456.2,522
4,2969.8,8651
4,3842.3,16334
4,1709.8,3124
5,1244.9,1066
4,189.4,4
4,451.5,258
2,1637.7,56987
5,315.7,35
3,271,318
2,919,4256
3,558.4,536
