elements_per_query,time execution,size_intersection
3,1867.7,9791
6,2423.6,4825
4,579.5,1853
2,192.6,139
4,1049.4,2885
4,2418.4,13487
3,2969.8,33854
4,264.9,168
5,888.9,1130
5,1376,3057
4,1932.4,19757
3,1383.7,12973
3,195,93
3,417.8,280
5,254.4,97
4,186.5,56
5,635.9,3272
3,1751.1,11963
3,262.8,467
3,201.6,104
4,832.4,1526
2,253.7,573
4,1003.3,2109
6,278,48
3,250.5,325
2,2683.8,27853
4,982.1,3036
4,173.6,8
3,2561.7,29845
3,2827.3,38354
2,862.1,6695
4,644.2,6139
4,1611.6,4149
4,2353.3,12021
4,789.2,1867
2,311.2,2903
4,551.1,1090
5,609.6,152
2,2867.8,33203
3,2353.8,13579
4,389,184
3,205.2,87
3,408,1206
5,447.1,195
5,330.3,74
2,1419.2,18924
2,312,1547
4,1097.6,1741
4,273.6,92
3,1516.2,11201
3,1448.3,12594
3,505.4,2851
3,368.7,281
4,687.3,974
3,2310.3,41090
3,649.6,2007
4,1121.8,1958
5,300,328
4,583.1,991
4,854.9,1306
2,522.3,3901
4,1604.2,9034
5,3916.3,29481
3,4939.2,82082
4,866.1,4396
3,680.6,1628
5,255.7,28
3,202.4,217
2,3112,98326
5,1294.6,1962
6,2134.3,8139
3,1621.9,11147
4,283.5,1724
3,227.6,1257
4,1009.2,1099
3,423.7,741
4,2452.3,13387
3,1084.6,11732
4,151.4,31
3,1960.8,12657
2,3995,505459
5,1892.8,5608
5,715.3,2214
3,234.1,830
3,782.8,1414
3,204.3,18
3,1729.5,8438
5,469.9,624
4,1660.3,6069
3,1169.1,5218
3,380.7,327
4,1037.3,1940
5,342.9,1031
2,607.6,3936
4,330.8,29
6,196,54
4,751.8,4887
2,8351.5,236055
3,327.5,386
4,228.5,153
4,507.4,408
5,1213,5041
5,2222.5,7167
5,384.5,199
3,359,471
5,148.3,6
3,2547.3,22141
3,640.8,2480
2,2025.2,24982
2,296.6,452
3,450.4,1208
3,411.5,1232
4,469.3,1501
4,2778,23344
